model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
XGB,region,Baseline,South_West_Region,0.5455,0.7984,0.3016,495.0,0.4909
XGB,region,Baseline,Wales,0.4797,0.7143,0.3115,419.0,0.4177
XGB,region,Reweighing,South_East_Region,0.588,0.7759,0.3871,449.0,0.5167
XGB,region,Reweighing,Other,0.5107,0.7549,0.2948,652.0,0.4693
XGB,region,Reweighing,North_Western_Region,0.4079,0.6325,0.2565,581.0,0.4028
XGB,region,Reweighing,London_Region,0.4412,0.6475,0.2741,621.0,0.4477
XGB,region,Reweighing,South_Region,0.5852,0.7822,0.3592,610.0,0.5344
XGB,region,Reweighing,Ireland,0.6502,0.8106,0.4176,223.0,0.5919
XGB,region,Reweighing,North_Region,0.5584,0.798,0.3163,394.0,0.5025
XGB,region,Reweighing,East_Midlands_Region,0.4979,0.7163,0.318,476.0,0.4517
XGB,region,Reweighing,West_Midlands_Region,0.4668,0.7389,0.2789,497.0,0.4085
XGB,region,Reweighing,Yorkshire_Region,0.513,0.7424,0.3111,423.0,0.4681
XGB,region,Reweighing,Scotland,0.5376,0.7151,0.3626,679.0,0.4963
XGB,region,Reweighing,South_West_Region,0.5434,0.7901,0.3056,495.0,0.4909
XGB,region,Reweighing,Wales,0.4773,0.7143,0.3074,419.0,0.4177
XGB,region,ExponentiatedGradient,South_East_Region,0.5323,0.7414,0.3088,449.0,0.5167
XGB,region,ExponentiatedGradient,Other,0.5184,0.768,0.2977,652.0,0.4693
XGB,region,ExponentiatedGradient,North_Western_Region,0.5095,0.7564,0.3429,581.0,0.4028
XGB,region,ExponentiatedGradient,London_Region,0.5314,0.7626,0.344,621.0,0.4477
XGB,region,ExponentiatedGradient,South_Region,0.5295,0.7301,0.2993,610.0,0.5344
XGB,region,ExponentiatedGradient,Ireland,0.565,0.7045,0.3626,223.0,0.5919
XGB,region,ExponentiatedGradient,North_Region,0.4975,0.7374,0.2551,394.0,0.5025
XGB,region,ExponentiatedGradient,East_Midlands_Region,0.4979,0.7116,0.3218,476.0,0.4517
XGB,region,ExponentiatedGradient,West_Midlands_Region,0.4769,0.7438,0.2925,497.0,0.4085
XGB,region,ExponentiatedGradient,Yorkshire_Region,0.539,0.7677,0.3378,423.0,0.4681
XGB,region,ExponentiatedGradient,Scotland,0.5184,0.7092,0.3304,679.0,0.4963
XGB,region,ExponentiatedGradient,South_West_Region,0.5051,0.749,0.2698,495.0,0.4909
XGB,region,ExponentiatedGradient,Wales,0.4964,0.7257,0.332,419.0,0.4177
XGB,region,ThresholdOptimizer,South_East_Region,0.5145,0.7328,0.2811,449.0,0.5167
XGB,region,ThresholdOptimizer,Other,0.5061,0.7451,0.2948,652.0,0.4693
XGB,region,ThresholdOptimizer,North_Western_Region,0.5095,0.765,0.3372,581.0,0.4028
XGB,region,ThresholdOptimizer,London_Region,0.5346,0.7698,0.344,621.0,0.4477
XGB,region,ThresholdOptimizer,South_Region,0.4967,0.681,0.2852,610.0,0.5344
XGB,region,ThresholdOptimizer,Ireland,0.5202,0.6364,0.3516,223.0,0.5919
XGB,region,ThresholdOptimizer,North_Region,0.4594,0.6869,0.2296,394.0,0.5025
XGB,region,ThresholdOptimizer,East_Midlands_Region,0.4685,0.6791,0.295,476.0,0.4517
XGB,region,ThresholdOptimizer,West_Midlands_Region,0.4728,0.7438,0.2857,497.0,0.4085
XGB,region,ThresholdOptimizer,Yorkshire_Region,0.5201,0.7525,0.3156,423.0,0.4681
XGB,region,ThresholdOptimizer,Scotland,0.4919,0.6766,0.3099,679.0,0.4963
XGB,region,ThresholdOptimizer,South_West_Region,0.497,0.7366,0.2659,495.0,0.4909
XGB,region,ThresholdOptimizer,Wales,0.4749,0.7086,0.3074,419.0,0.4177
XGB,region,Suppression,South_East_Region,0.5434,0.7543,0.318,449.0,0.5167
XGB,region,Suppression,Other,0.5184,0.7516,0.3121,652.0,0.4693
XGB,region,Suppression,North_Western_Region,0.4613,0.7051,0.2968,581.0,0.4028
XGB,region,Suppression,London_Region,0.4541,0.6691,0.2799,621.0,0.4477
XGB,region,Suppression,South_Region,0.5541,0.7546,0.3239,610.0,0.5344
XGB,region,Suppression,Ireland,0.6143,0.7652,0.3956,223.0,0.5919
XGB,region,Suppression,North_Region,0.5076,0.7374,0.2755,394.0,0.5025
XGB,region,Suppression,East_Midlands_Region,0.4958,0.7163,0.3142,476.0,0.4517
XGB,region,Suppression,West_Midlands_Region,0.4527,0.7094,0.2755,497.0,0.4085
XGB,region,Suppression,Yorkshire_Region,0.5177,0.7525,0.3111,423.0,0.4681
XGB,region,Suppression,Scotland,0.5685,0.7596,0.3801,679.0,0.4963
XGB,region,Suppression,South_West_Region,0.5313,0.7819,0.2897,495.0,0.4909
XGB,region,Suppression,Wales,0.5012,0.7257,0.3402,419.0,0.4177
LogisticRegression,age_band,Baseline,35-55,0.5509,0.7387,0.3275,1866.0,0.5434
LogisticRegression,age_band,Baseline,Other,0.4285,0.6336,0.266,4614.0,0.4419
LogisticRegression,age_band,Baseline,55__,0.7436,0.75,0.7333,39.0,0.6154
LogisticRegression,age_band,Reweighing,35-55,0.5825,0.7554,0.3768,1866.0,0.5434
LogisticRegression,age_band,Reweighing,Other,0.4352,0.6248,0.285,4614.0,0.4419
LogisticRegression,age_band,Reweighing,55__,0.6667,0.7083,0.6,39.0,0.6154
LogisticRegression,age_band,ExponentiatedGradient,35-55,0.478,0.6598,0.2617,1866.0,0.5434
LogisticRegression,age_band,ExponentiatedGradient,Other,0.4686,0.6724,0.3072,4614.0,0.4419
LogisticRegression,age_band,ExponentiatedGradient,55__,0.4359,0.4583,0.4,39.0,0.6154
LogisticRegression,age_band,ThresholdOptimizer,35-55,0.47,0.6548,0.25,1866.0,0.5434
LogisticRegression,age_band,ThresholdOptimizer,Other,0.472,0.6827,0.3052,4614.0,0.4419
LogisticRegression,age_band,ThresholdOptimizer,55__,0.5128,0.5417,0.4667,39.0,0.6154
LogisticRegression,age_band,Suppression,35-55,0.5675,0.7574,0.3415,1866.0,0.5434
LogisticRegression,age_band,Suppression,Other,0.4211,0.6263,0.2586,4614.0,0.4419
LogisticRegression,age_band,Suppression,55__,0.7692,0.7917,0.7333,39.0,0.6154
RandomForest,age_band,Baseline,35-55,0.5691,0.7584,0.3439,1866.0,0.5434
RandomForest,age_band,Baseline,Other,0.4348,0.6479,0.266,4614.0,0.4419
RandomForest,age_band,Baseline,55__,0.7692,0.7917,0.7333,39.0,0.6154
RandomForest,age_band,Reweighing,35-55,0.575,0.7673,0.3462,1866.0,0.5434
RandomForest,age_band,Reweighing,Other,0.4309,0.6435,0.2625,4614.0,0.4419
RandomForest,age_band,Reweighing,55__,0.7692,0.8333,0.6667,39.0,0.6154
RandomForest,age_band,ExponentiatedGradient,35-55,0.5166,0.6963,0.3028,1866.0,0.5434
RandomForest,age_band,ExponentiatedGradient,Other,0.4369,0.6508,0.2676,4614.0,0.4419
